Package                      Version   Latest     Type
---------------------------- --------- ---------- -----
anthropic                    0.72.0    0.73.0     wheel
black                        25.9.0    25.11.0    wheel
boto3                        1.40.73   1.40.74    wheel
botocore                     1.40.73   1.40.74    wheel
cachetools                   6.2.1     6.2.2      wheel
certifi                      2025.10.5 2025.11.12 wheel
click                        8.3.0     8.3.1      wheel
coverage                     7.11.0    7.11.3     wheel
cyclopts                     4.2.3     4.2.4      wheel
fastmcp                      2.13.0.2  2.13.1     wheel
google-ai-generativelanguage 0.6.15    0.9.0      wheel
google-api-core              2.25.2    2.28.1     wheel
grpcio-status                1.71.2    1.76.0     wheel
huggingface-hub              0.36.0    1.1.4      wheel
jiter                        0.11.1    0.12.0     wheel
keyring                      25.6.0    25.7.0     wheel
langchain                    0.2.17    1.0.7      wheel
mcp                          1.21.0    1.21.1     wheel
ollama                       0.6.0     0.6.1      wheel
openai                       2.7.1     2.8.0      wheel
peft                         0.17.1    0.18.0     wheel
protobuf                     5.29.5    6.33.1     wheel
pylint                       4.0.2     4.0.3      wheel
pytest-asyncio               1.2.0     1.3.0      wheel
referencing                  0.36.2    0.37.0     wheel
rpds-py                      0.28.0    0.29.0     wheel
torchaudio                   2.9.0     2.9.1      wheel
torchvision                  0.24.0    0.24.1     wheel
trl                          0.25.0    0.25.1     wheel
wsproto                      1.2.0     1.3.1      wheel
